figure_id,What is the level of RNA expression?,What is the level of protein expression?,What is the distribution of expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,General comments,Is RNA present in soma?,Is protein present in soma?,Is RNA present in neuropil?,Is protein present in neuropil?,Is RNA distribution cell-type specific?,Is protein distribution cell-type specific?,RNAnoProtein,ProteinNoRNA_neuropil,RNAnoProtein_neuropil,ProteinNoRNA_soma,RNAnoProtein_soma,,user+dataDiscordance,userDiscordance,neuropilDiscordance,somaDiscordance,,neuropilSomaDiscordance
2138324,Low,None,Subset of cells,Single transcripts,,None,Low,Yes,No,,Yes,No,Yes,No,No,No,1,no,yes,no,yes,,,,,,,
2138109,High,None,"Punctate	Diffuse","Evenly distributed	Transcription foci",,High,Moderate,Yes,No,,Yes,No,Yes,No,No,No,1,no,yes,no,yes,,,,,,,
2138440,Low,None,Subset of cells,More in some cells than others,,None,Low,Yes,No,One cell with signal in the RNA channel. Not 100% this is real though. Josh?,Yes,No,No,No,No,No,1,no,no,no,yes,,,,,,,
2138732,High,None,,More in some cells than others,,Moderate,High,Yes,No,,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2138620,Low,None,,Evenly distributed,,None,Low,Yes,No,,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2138913,Low,None,,More in some cells than others,,Low,Low,Yes,No,,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2138696,Low,None,,"Single transcripts	More in some cells than others",,None,Low,Yes,No,,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2138405,Moderate,None,Diffuse,Evenly distributed,,Low,Moderate,Yes,No,,Yes,No,No,No,No,No,1,no,no,no,yes,,,,,,,
2138773,High,None,,More in some cells than others,,Low,High,Yes,No,,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2137898,Moderate,None,Diffuse,More in some cells than others,,Low,Moderate,Yes,No,,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2138027,Moderate,None,Subset of cells,More in some cells than others,,Low,Moderate,Yes,No,,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2138793,Low,None,Subset of cells,More in some cells than others,,None,Low,Yes,No,Lots of transcripts in a small number of neighbouring cells,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2138816,Low,None,,"Evenly distributed	Single transcripts",,None,Low,Yes,No,,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2138725,High,None,,More in some cells than others,,Low,High,Yes,No,Large aggregation of RNA in one cell?,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2138058,Low,None,"Punctate	Large aggregations	Subset of cells","Transcription foci	More in some cells than others",,Low,Low,No,No,Really large RNA aggregations in one cell. Loads of transcription foci? ,Yes,No,No,No,soma,No,1,no,no,no,yes,,,,,,,
2138339,None,Low,Subset of cells,,Other,None,None,Yes,Yes,Very low expression. Autofluorescence?,No,Yes,No,Yes,No,No,0,yes,no,yes,no,,,,,,,
2138354,None,Moderate,"Punctate	Large aggregations",,"Cell edges	Diffuse	Other",None,None,Yes,No,,No,Yes,No,Yes,N/A,No,0,yes,no,yes,no,,,,,,,
2138850,None,Low,Diffuse,,Diffuse,None,None,Yes,No,,No,Yes,No,Yes,No,No,0,yes,no,yes,no,,,,,,,
2137998,None,Low,Subset of cells,,"Cell edges	Other",None,None,Yes,No,,No,Yes,No,Yes,N/A,No,0,yes,no,yes,no,,,,,,,
2138636,None,High,Cytoplasmic,,"Cell edges	Other",None,None,Yes,No,,No,Yes,No,Yes,No,No,0,yes,no,yes,no,,,,,,,
2138642,None,Low,Diffuse,,"Cell edges	Other",None,None,Yes,No,Protein expression is very low,No,Yes,No,Yes,No,No,0,yes,no,yes,no,,,,,,,
2138349,None,High,Diffuse,,"Cell edges	Other",None,None,Yes,No,,No,Yes,No,Yes,N/A,No,0,yes,no,yes,no,,,,,,,
2138812,None,High,"Punctate	Other",,"Punctate	Cell edges",None,None,Yes,No,Along the layer between sections of the lobe,No,Yes,No,Yes,No,No,0,yes,no,yes,no,,,,,,,
2137905,None,High,Diffuse,,Diffuse,None,None,Yes,No,,No,Yes,No,Yes,No,No,0,yes,no,yes,no,,,,,,,
2138613,None,Moderate,"Punctate	Diffuse",,Other,None,None,Yes,No,,No,Yes,No,Yes,N/A,No,0,yes,no,yes,no,,,,,,,
2138720,None,Moderate,"Diffuse	Cytoplasmic",,Cell edges,None,None,Yes,No,,No,Yes,No,No,No,soma,1,no,no,yes,no,,,,,,,
2137791,None,Low,Subset of cells,,Cell edges,None,None,Yes,No,,No,Yes,No,No,N/A,soma,1,no,no,yes,no,,,,,,,
2138467,None,Low,Punctate,,Punctate,None,None,Yes,No,,No,Yes,No,No,No,soma,1,no,no,yes,no,,,,,,,
2138851,None,Low,"Diffuse	Cytoplasmic",,"Cell edges	Diffuse",None,None,Yes,No,,No,Yes,No,No,No,soma,1,no,no,yes,no,,,,,,,
2138557,None,Low,Punctate,,Punctate,None,None,Yes,No,,No,Yes,No,No,No,No,1,no,no,yes,no,,,,,,,
2138381,None,Low,Other,,Other,None,None,Yes,No,,No,No,No,Yes,No,neuropil,0,yes,no,no,no,,,,,,,
2138941,None,Moderate,Large aggregations,,Other,None,None,Yes,No,,No,No,No,Yes,No,neuropil,0,yes,no,no,no,,,,,,,
2138650,None,Low,Diffuse,,,None,None,No,No,Only a very low protein expression along the border between the different sections of the lobe,No,No,No,Yes,No,neuropil,0,yes,no,no,no,,,,,,,
2138675,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2137934,None,None,,,,None,None,No,No,"Doesn't seem to be expressed, DAPI is saturating and needs to be recontrasted",No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138743,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138126,None,None,,,,None,None,No,No,DOesn't look like it's expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2137776,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138858,None,None,,,,None,None,No,No,,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138362,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138688,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138897,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138577,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138699,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138575,None,None,,,,None,None,No,No,Doesn't seem to be expressed. ,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138882,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138312,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2137925,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138898,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138436,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2137773,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138398,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138482,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2138906,None,None,,,,None,None,No,No,This is a central brain figure,No,No,No,No,No,No,1,no,no,no,no,,,,,,,
2137894,None,Low,Cytoplasmic,,Cell edges,None,None,Yes,No,,N/A,Yes,N/A,No,N/A,soma,1,no,no,no,no,,,,,,,
2139878,High,High,,Evenly distributed,"Diffuse	Cytoplasmic",Low,High,No,No,,Yes,Yes,Yes,No,,,,,,,,,,,,,,
2139978,High,High,,More in some cells than others,"Punctate	Large aggregations",High,Moderate,No,No,,Yes,Yes,No,Yes,,,,,,,,,,,,,,
2140577,High,High,,More in some cells than others,"Punctate	Large aggregations",High,Moderate,No,No,,Yes,Yes,No,Yes,,,,,,,,,,,,,,
2140676,High,Moderate,,More in some cells than others,Diffuse,Moderate,High,Yes,No,,Yes,Yes,No,Yes,,,,,,,,,,,,,,
2140681,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,,,,,,,,,,,,,,
2139886,High,High,,Evenly distributed,"Diffuse	Large aggregations	Cytoplasmic",None,Moderate,No,No,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
2140576,None,None,,,,None,None,No,No,I think it's not expressed and contrasting needs to be adjusted. ,No,No,No,No,,,,,,,,,,,,,,
2139898,High,Moderate,,Evenly distributed,"Cell edges	Diffuse",High,High,No,No,RNA channel is needs to be recontrasted for the surface image,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
2140585,Moderate,Low,,Evenly distributed,"Punctate	Diffuse",Low,Moderate,No,No,,Yes,Yes,No,Yes,,,,,,,,,,,,,,
2140675,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,,,,,,,,,,,,,,
2141755,None,None,,,,None,None,No,No,Doesn't seem to be expressed,No,No,No,No,,,,,,,,,,,,,,
2139973,High,Moderate,,More in some cells than others,"Punctate	Diffuse",Low,High,No,No,RNA on the surface image needs to be brighter,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
2139961,High,Low,,More in some cells than others,Punctate,Moderate,High,Yes,No,,Yes,Yes,No,No,,,,,,,,,,,,,,
2140682,High,High,,Evenly distributed,Punctate,Moderate,High,No,No,,Yes,Yes,Yes,No,,,,,,,,,,,,,,
2139882,Moderate,None,,Evenly distributed,,Low,Moderate,No,No,,Yes,No,No,No,,,,,,,,,,,,,,
