figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in NBs?,Is protein present in NBs?,Is RNA present in anlagen?,Is protein present in anlagen?,Is RNA present in other cells?,Is protein present in other cells?,Is figure quality too poor?,General comments,,figure_id,NB_RNA_no_protein,
2138739,High,High,Evenly distributed,"Punctate	Large aggregations",Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,2138455,0,0
2137933,Low,None,Single transcripts,,None,None,No,No,Yes,No,N/A,N/A,Yes,No,Yes,,,2138563,0,0
2139880,Low,None,Single transcripts,,None,Low,Yes,No,No,No,No,No,Yes,No,No,,,2138343,0,0
2137915,Low,Low,Single transcripts,"Punctate	Diffuse",None,Low,Yes,No,Yes,No,Yes,No,Yes,Yes,No,,,2138471,0,0
2138601,Moderate,Moderate,More in some cells than others,"Diffuse	Cytoplasmic",High,Moderate,Yes,No,Yes,No,No,No,Yes,Yes,No,Protein expression quite specific to a few glial looking cells next to anlagen. Not very much translated in the CB plane. ,,2137966,0,0
2138701,Moderate,Low,Evenly distributed,"Cell edges	Cytoplasmic",Moderate,Moderate,Yes,No,Yes,No,No,No,Yes,Yes,No,,,2138123,0,0
2138770,Low,Moderate,Evenly distributed,Cytoplasmic,Low,Low,No,No,No,No,N/A,N/A,Yes,Yes,No,,,2138603,0,0
2137907,Low,Moderate,"Single transcripts	More in some cells than others","Punctate	Diffuse",High,Low,Yes,No,Yes,No,Yes,No,Yes,Yes,No,,,2138019,0,0
2138906,Low,Low,"Single transcripts	Cell type specific","Punctate	Nuclear",None,Low,No,No,Yes,Yes,No,No,Yes,Yes,No,Very specifically expressed in some cells next to anlagen,,2138107,0,0
2138388,High,High,More in some cells than others,Cytoplasmic,High,High,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,,2138739,0,0
2138592,High,Moderate,Evenly distributed,"Cell edges	Cytoplasmic",Moderate,High,No,No,Yes,Yes,N/A,N/A,Yes,Yes,No,,,2139880,0,0
2138174,Low,High,Single transcripts,Cytoplasmic,None,Low,No,No,Yes,Yes,N/A,N/A,Yes,Yes,Yes,,,2138770,0,0
2137952,High,Low,Evenly distributed,"Nuclear	Diffuse",Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,2138906,0,0
2138830,High,Moderate,Evenly distributed,"Nuclear	Diffuse	Cytoplasmic",Moderate,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Translationally controlled in NBs and early progeny,,2138592,0,0
2138629,Moderate,High,More in some cells than others,"Cytoplasmic	Cell type specific",Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,2138174,0,0
2137823,Low,Low,"Evenly distributed	Single transcripts","Diffuse	Cytoplasmic",Low,Low,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,"Anlagen - RNA present, almost no protein",,2137952,0,0
2138105,High,High,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,N/A,N/A,Yes,Yes,No,,,2138830,0,0
2138166,High,High,Evenly distributed,"Punctate	Cytoplasmic",High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,2138629,0,0
2138737,Moderate,Moderate,More in some cells than others,"Punctate	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,2137823,0,0
2137755,Moderate,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,N/A,N/A,Yes,Yes,Yes,Anlagen figure missing,,2138105,0,0
2138922,Low,Moderate,More in some cells than others,Cell edges,High,Low,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,2138166,0,0
2138888,High,Moderate,Evenly distributed,"Nuclear	Diffuse	Cytoplasmic",Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,2138737,0,0
2138896,Low,Low,Single transcripts,Punctate,None,Low,Yes,No,Yes,No,N/A,N/A,Yes,Yes,Yes,,,2137755,0,0
2138783,Low,Low,Single transcripts,Nuclear,Low,Low,Yes,No,Yes,No,Yes,No,Yes,Yes,No,,,2138922,0,0
2138318,Low,Low,Single transcripts,Cell type specific,None,Low,No,No,No,No,No,No,Yes,Yes,No,Protein expression mainly in the MBs,,2138888,0,0
2138314,Moderate,Moderate,Evenly distributed,"Punctate	Cytoplasmic",Moderate,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,,,2138318,0,0
2138322,Low,Moderate,"Single transcripts	More in some cells than others","Punctate	Cytoplasmic",Moderate,Low,Yes,No,Yes,No,Yes,No,Yes,Yes,No,"Translational control in NBs, anlagen, and some progeny cells. ",,2138314,0,0
2138330,Low,Moderate,"Single transcripts	More in some cells than others",Cytoplasmic,Moderate,Low,No,No,Yes,Yes,N/A,N/A,Yes,Yes,No,The Protein panel wrongly shows the DAPI channel. ,,2138330,0,0
2138353,Low,None,Evenly distributed,,Low,Low,Yes,No,No,No,No,No,Yes,No,No,,,2138353,0,0
2140584,Low,Low,Evenly distributed,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,N/A,No,Yes,Yes,No,,,,,
2140575,Low,Low,Single transcripts,Cytoplasmic,None,Low,No,No,No,No,No,Yes,No,Yes,Yes,venus FISH didn't work.,,,,
2140670,Low,Moderate,"Single transcripts	More in some cells than others","Large aggregations	Cytoplasmic",Low,Moderate,Yes,No,No,No,Yes,Yes,Yes,No,No,,,,,
2140679,Low,None,Single transcripts,,None,Low,Yes,No,No,No,No,No,Yes,No,No,,,,,
2140669,Low,None,Single transcripts,,Low,Low,Yes,No,No,No,Yes,No,Yes,No,No,,,,,
2140671,High,High,Evenly distributed,"Punctate	Nuclear",Moderate,High,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,,,,
2140581,Low,Low,"Single transcripts	More in some cells than others","Cytoplasmic	Cell type specific",High,Low,Yes,No,No,No,N/A,No,Yes,Yes,No,,,,,
