figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in Kenyon cell somata?,Is protein present in Kenyon cell somata?,Is RNA present in MB lobes?,Is protein present in MB lobes?,Is RNA present in MB calyx?,Is protein present in MB calyx?,Is figure quality too poor?,General comments,,somaRNAnoProtein,somaProteinNoRNA,lobeRNAnoProtein,lobesProteinNoRNA,calyxRNAnoProtein,calyxProteinNoRNA,figure_id
2138052,Moderate,Moderate,Evenly distributed,"Punctate	Cytoplasmic",Moderate,Moderate,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138728
2137809,High,High,Evenly distributed,Nuclear,Moderate,High,No,No,Yes,Yes,Yes,No,No,No,No,,,0,0,0,0,0,0,2138179
2138908,Low,Low,Cell type specific,Cell type specific,High,Low,Yes,No,No,No,No,No,No,No,No,PTR in some cells in the MB plane,,0,0,0,0,0,0,2138815
2138875,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138838
2138660,Low,Low,Single transcripts,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,No,No,Yes,No,,,0,0,0,0,0,0,2138826
2138031,High,High,Evenly distributed,Cytoplasmic,High,High,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Protein transport to MB lobes,,0,0,0,0,0,0,2138857
2138648,High,Moderate,Evenly distributed,"Punctate	Cytoplasmic",Moderate,High,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,,,0,0,0,0,0,0,2138392
2138756,High,Moderate,Evenly distributed,Nuclear,Moderate,None,Yes,No,Yes,Yes,Yes,No,Yes,No,No,,,0,0,0,0,0,0,2137803
2137950,High,Low,Evenly distributed,Cytoplasmic,Moderate,High,Yes,No,Yes,No,No,Yes,Yes,Yes,No,,,0,0,0,0,0,0,2138910
2138590,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,Yes,No,Yes,No,No,,,0,0,0,0,0,0,2138338
2138076,Low,Low,More in some cells than others,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,No,No,No,No,No,RNA in glial cytoplasm wrapping calyx,,0,0,0,0,0,0,2137794
2138627,Low,Moderate,More in some cells than others,Cytoplasmic,Low,Low,Yes,No,Yes,No,No,No,No,No,No,,,0,0,0,0,0,0,2138516
2138744,None,None,,,None,None,No,No,No,No,No,No,No,No,No,,,0,0,0,0,0,0,2138259
2138644,Low,None,Cell type specific,,Low,Moderate,Yes,No,No,No,No,No,No,No,No,,,0,0,0,0,0,0,2138579
2138662,Moderate,High,Single transcripts,"Punctate	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,0,0,0,0,0,0,2138255
2138033,High,High,Evenly distributed,"Cell edges	Cytoplasmic",Moderate,High,No,No,Yes,Yes,N/A,No,Yes,Yes,No,RNA translationally controlled in soma?,,0,0,0,0,0,0,2138836
2138877,High,High,Evenly distributed,Cytoplasmic,High,High,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Protein/RNA transport?,,0,0,0,0,0,0,2140574
2138814,None,None,,,None,None,No,No,No,No,No,No,No,No,No,,,0,0,0,0,0,0,2140578
2138818,Moderate,High,Evenly distributed,Cell edges,Moderate,Moderate,No,No,Yes,Yes,No,No,Yes,No,No,Protein localisation to plasma and nuclear membrane,,0,0,0,0,0,0,2139896
2138121,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Moderate,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Biased protein localisation to calyx over somata?,,0,0,0,0,0,0,2138400
2137759,Low,Low,"Single transcripts	More in some cells than others","Punctate	Diffuse	Cytoplasmic",Low,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,,,0,0,0,0,0,0,2138879
2138853,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,No,No,Yes,No,,,0,0,0,0,0,0,2137761
2138758,Low,Low,More in some cells than others,Cell edges,Moderate,Low,Yes,No,No,No,No,No,No,No,No,PTR in some cells in the MB lobe plane,,0,0,0,0,0,0,2138908
2138658,Moderate,Low,Evenly distributed,,Moderate,Moderate,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,,,0,0,0,0,0,0,2138076
2137923,Low,None,Single transcripts,,None,Low,Yes,No,Yes,No,Yes,No,No,No,No,,,0,0,0,0,0,0,2138744
2138754,Low,Low,More in some cells than others,,Moderate,Low,No,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138644
2137940,High,High,Evenly distributed,"Nuclear	Diffuse	Cytoplasmic",Moderate,High,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Protein transport to neuropils,,0,0,0,0,0,0,2138662
2138457,Moderate,Low,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138033
2138545,Moderate,Low,Evenly distributed,Cytoplasmic,Low,None,No,No,Yes,Yes,Yes,Yes,No,Yes,No,,,0,0,0,0,0,0,2138814
2137985,Moderate,None,Evenly distributed,"Punctate	Cytoplasmic",High,Moderate,No,No,No,No,No,No,No,No,No,,,0,0,0,0,0,0,2138121
2138526,Low,Low,Evenly distributed,"Nuclear	Cytoplasmic",Moderate,Low,No,No,Yes,No,No,No,No,Yes,No,,,0,0,0,0,0,0,2137759
2138426,Low,Low,Evenly distributed,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138758
2138473,Moderate,Moderate,"Evenly distributed	Single transcripts",Nuclear,Low,Moderate,No,No,Yes,Yes,No,No,No,No,No,,,0,0,0,0,0,0,2137985
2138341,Low,Moderate,"Evenly distributed	Single transcripts","Nuclear	Cytoplasmic	Other",Low,Low,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Nucleolar protein expression,,0,0,0,0,0,0,2138473
2140678,Low,None,"Single transcripts	More in some cells than others",,Moderate,Low,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,,
2140666,Low,None,"Single transcripts	More in some cells than others",,Low,Low,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,,
2140668,High,High,Evenly distributed,"Nuclear	Large aggregations",Low,High,No,No,Yes,Yes,Yes,No,No,No,No,,,,,,,,,
2140667,Low,Low,"Single transcripts	More in some cells than others","Punctate	Cytoplasmic",Moderate,Low,No,No,No,No,No,No,No,No,No,,,,,,,,,
